operacion;cliente;comercial;origen;destino;incoterm;pais;transporte;qpallets;costotransporte;tarifacomerciales;agencia;fechacarga;producto
1037;4900;IRENE;ACENORCA;GELSENKIRCHEN;DAP;ALEMANIA;CAMION;33;2400;2300;TRANSTIRA;3/2022;ACEITUNAS VERDES SIN HUESO
1038;200;PACHI;OSUNA;POTI;CFR;GEORGIA;40';25;1941;2245;YUSEN LOGISTICS;3/2022;ACEITUNAS  RELLENAS  ANCHOA
1039;4100;DAVID;OLIVES;SAINT BONNET LES OULES;DAP;FRANCIA;CAMION;33;2200;1850;PEREZ RANGEL;3/2022;ACEITUNAS VERDES SIN HUESO
1040;7600;IRENE;OLIVES;HERMALLES;DAP;BELGICA;CAMION;33;2600;2200;PEREZ RANGEL;3/2022;ACEITUNAS RELLENAS PIMIENTO
1041;3500;DAVID;OLIVES;CHENNEVIERES;DAP;FRANCIA;CAMION;33;2200;2000;PEREZ RANGEL;3/2022;ACEITUNAS VERDES SIN HUESO
1042;3300;DAVID;CAZORLA;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1875;1900;CARRERAS;3/2022;ACEITUNAS VERDES  RODAJAS
1043;4500;DAVID;ARASOL;PORTSMOUTH;DAP;REINO UNIDO;40';25;2640;3600;CONTAINERSHIPS;3/2022;ACEITUNAS VERDES  RODAJAS
1044;3300;DAVID;CAZORLA;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1765;1900;CARRERAS;3/2022;ACEITUNAS VERDES  RODAJAS
1045;1100;PACHI;OSUNA;JEDDAH;CFR;ARABIA SAUDITA;20';11;1530;1800;BRAID;3/2022;ACEITUNAS NEGRAS RODAJAS
1046;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;20';11;1465;1800;BRAID;3/2022;ACEITUNAS NEGRAS RODAJAS
1047;3100;IRENE;OLIVES;HAMBURGO;DDP;ALEMANIA;40';25;2143;1650;CONTAINERSHIPS;3/2022;ACEITUNAS VERDES  RODAJAS
1048;8300;PACHI;OLIVES;PARANAGUA;CFR;BRASIL;20';11;2325;2025;TRANSITEX;3/2022;ACEITUNAS  RELLENAS  ANCHOA
1049;6700;DAVID;ACENORCA;CASTELLO DI ANNONE;DAP;ITALIA;CAMION;33;1780;1800;LIBERTIA;3/2022;ACEITUNAS RELLENAS PIMIENTO
1050;5300;IRENE;ARASOL;HAMM;DAP;ALEMANIA;CAMION;33;2680;2550;TRANSTIRA;3/2022;ACEITUNAS NEGRAS RODAJAS
1051;4800;DAVID;ACENORCA;CHARD;DAP;REINO UNIDO;20';11;2880;2800;ZETA SHIPPING;3/2022;ACEITUNAS  RELLENAS  ANCHOA
1052;3700;DAVID;ARASOL;PARK ROYAL;DAP;REINO UNIDO;40';25;2429;2700;CONTAINERSHIPS;3/2022;ACEITUNAS VERDES SIN HUESO
1053;2100;DAVID;ARASOL;MANCHESTER;DAP;REINO UNIDO;40';25;2728;3000;CONTAINERSHIPS;3/2022;ACEITUNAS  RELLENAS  ANCHOA
1054;2100;DAVID;ARASOL;LEYTON;DAP;REINO UNIDO;40';25;2782;3120;CONTAINERSHIPS;3/2022;ACEITUNAS VERDES  RODAJAS
1055;1900;DAVID;ARASOL;BARKING;DAP;REINO UNIDO;40';25;2290;2950;CONTAINERSHIPS;3/2022;ACEITUNAS VERDES  RODAJAS
1056;7100;DAVID;ACENORCA;FORONE UZZANO;DAP;ITALIA;CAMION;33;1925;1900;LIBERTIA;3/2022;ACEITUNAS  RELLENAS  ANCHOA
1057;7800;DAVID;OLIVES;LUTTERWORTH;DAP;REINO UNIDO;40';25;2640;2393;PINTO BASTO;3/2022;ACEITUNAS  RELLENAS  ANCHOA
1058;7800;DAVID;OLIVES;DONCASTER;DAP;REINO UNIDO;40';25;2690;2393;PINTO BASTO;3/2022;ACEITUNAS VERDES  RODAJAS
1059;6400;DAVID;OSUNA;MATELICA;DAP;ITALIA;CAMION;33;2200;2200;TRANSITALIA;4/2022;ACEITUNAS RELLENAS PIMIENTO
1060;400;PACHI;ARASOL;PORT QASIM;CFR;ARABIA SAUDITA;20';11;2370;2700;PINTO BASTO;4/2022;ACEITUNAS  RELLENAS  ANCHOA
1061;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;20';11;1590;1800;PINTO BASTO;4/2022;ACEITUNAS VERDES  RODAJAS
1062;1600;PACHI;OSUNA;NHAVA SHEVA;CIF;INDIA;20';11;1680;2530;PINTO BASTO;4/2022;ACEITUNAS  RELLENAS  ANCHOA
1063;1600;PACHI;OSUNA;ENNORE;CIF;INDIA;20';11;2550;2610;PINTO BASTO;4/2022;ACEITUNAS VERDES SIN HUESO
1064;300;PACHI;ACENORCA;JEDDAH;CFR;ARABIA SAUDITA;40';25;2190;2300;PINTO BASTO;4/2022;ACEITUNAS RELLENAS PIMIENTO
1065;5300;IRENE;ACENORCA;HAMM;DAP;ALEMANIA;CAMION;33;2700;2550;TRANSTIRA;4/2022;ACEITUNAS RELLENAS PIMIENTO
1066;5300;IRENE;ARASOL;HAMM;DAP;ALEMANIA;CAMION;33;2880;2550;TRANSTIRA;4/2022;ACEITUNAS RELLENAS PIMIENTO
1067;5300;IRENE;ACENORCA;HAMM;DAP;ALEMANIA;CAMION;33;2700;2550;NEPTUNE;4/2022;ACEITUNAS VERDES SIN HUESO
1068;4900;IRENE;ACENORCA;GELSENKIRCHEN;DAP;ALEMANIA;CAMION;33;2700;2300;TRANSTIRA;4/2022;ACEITUNAS  RELLENAS  ANCHOA
1069;6000;IRENE;ACENORCA;HAMMERSBACH;DAP;ALEMANIA;CAMION;33;2750;2700;TRANSTIRA;4/2022;ACEITUNAS VERDES SIN HUESO
1070;2400;DAVID;OLIVES;LOMATRANS;DAP;FRANCIA;CAMION;33;1850;2300;PEREZ RANGEL;4/2022;ACEITUNAS VERDES SIN HUESO
1071;6000;IRENE;ACENORCA;BOCHUM;DAP;ALEMANIA;CAMION;33;2650;3040;TRANSITEX;4/2022;ACEITUNAS NEGRAS RODAJAS
1072;8300;PACHI;ARASOL;SUAPE;CFR;BRASIL;20';11;2205;2575;BRAID;4/2022;ACEITUNAS NEGRAS RODAJAS
1073;6000;IRENE;ACENORCA;HAMBURGO;DAP;ALEMANIA;CAMION;33;2850;2300;VERTEX;4/2022;ACEITUNAS  RELLENAS  ANCHOA
1074;8300;PACHI;OLIVES;PARANAGUA;CFR;BRASIL;20';11;2095;2100;TRANSITEX;4/2022;ACEITUNAS RELLENAS PIMIENTO
1075;8300;PACHI;ARASOL;PARANAGUA;CFR;BRASIL;20';11;1910;2100;TRANSITEX;4/2022;ACEITUNAS VERDES SIN HUESO
1076;7200;DAVID;ARASOL;FLEURY LES AUBRAIS;DAP;FRANCIA;CAMION;33;2290;2000;PEREZ RANGEL;4/2022;ACEITUNAS RELLENAS PIMIENTO
1077;6000;IRENE;ACENORCA;DORTMUND;DAP;ALEMANIA;CAMION;33;2250;2400;VERTEX;4/2022;ACEITUNAS VERDES SIN HUESO
1078;8200;PACHI;ARASOL;PARANAGUA;CFR;BRASIL;20';11;1920;2100;TRANSITEX;4/2022;ACEITUNAS  RELLENAS  ANCHOA
1079;7600;IRENE;OSUNA;HERMALLES;DAP;BELGICA;CAMION;33;2750;2350;TRANSTIRA;4/2022;ACEITUNAS VERDES  RODAJAS
1080;4900;IRENE;ACENORCA;GELSENKIRCHEN;DAP;ALEMANIA;CAMION;33;1980;2300;TRANSTIRA;4/2022;ACEITUNAS RELLENAS PIMIENTO
1081;1200;PACHI;OSUNA;RIYADH DRY PORT;CFR;ARABIA SAUDITA;40';25;1885;2400;DACHSER;5/2022;ACEITUNAS RELLENAS PIMIENTO
1082;3300;DAVID;OSUNA;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1140;1300;SENNDER;5/2022;ACEITUNAS  RELLENAS  ANCHOA
1083;8000;PACHI;ARASOL;PARANAGUA;CFR;BRASIL;40';25;1050;1200;TRANSITEX;5/2022;ACEITUNAS RELLENAS PIMIENTO
1084;500;PACHI;ARASOL;CHITTAGONG;CFR;BANGLADESH;20';11;2690;3350;TRANSITEX;5/2022;ACEITUNAS RELLENAS PIMIENTO
1085;5300;IRENE;ARASOL;HAMM;DAP;ALEMANIA;CAMION;33;2900;2550;TRANSTIRA;5/2022;ACEITUNAS NEGRAS RODAJAS
1086;6100;IRENE;ACENORCA;HAMBURGO;DAP;ALEMANIA;40';25;1950;1579;CONTAINERSHIPS;5/2022;ACEITUNAS RELLENAS PIMIENTO
1087;6300;PACHI;OLIVES;GDANSK;DDP;POLONIA;40';25;2890;2100;GEODIS;5/2022;ACEITUNAS NEGRAS RODAJAS
1088;100;PACHI;OSUNA;NHAVA SHEVA;CFR;INDIA;20';11;1650;2000;TRANSITEX;5/2022;ACEITUNAS VERDES SIN HUESO
1089;8400;MARIA;ARASOL;NEW YORK;CFR;ESTADOS UNIDOS;40';25;3165;1900;TRANSITEX;5/2022;ACEITUNAS NEGRAS RODAJAS
1090;200;PACHI;OSUNA;POTI;CFR;GEORGIA;40';25;1930;2245;PINTO BASTO;5/2022;ACEITUNAS  RELLENAS  ANCHOA
1091;5300;IRENE;ACENORCA;HAMM;DAP;ALEMANIA;CAMION;33;2705;2550;RHENUS;5/2022;ACEITUNAS VERDES  RODAJAS
1092;6100;IRENE;ACENORCA;HAMBURGO;DAP;ALEMANIA;40';25;1690;1579;PINTO BASTO;5/2022;ACEITUNAS VERDES  RODAJAS
1093;6000;IRENE;ACENORCA;HAMBURGO;DAP;ALEMANIA;CAMION;33;2295;2400;TRANSTIRA;5/2022;ACEITUNAS NEGRAS RODAJAS
1094;1600;PACHI;OSUNA;NHAVA SHEVA;CIF;INDIA;20';11;1880;2530;PINTO BASTO;5/2022;ACEITUNAS  RELLENAS  ANCHOA
1095;5300;IRENE;ARASOL;HAMM;DAP;ALEMANIA;CAMION;33;3060;2550;TRANSTIRA;5/2022;ACEITUNAS RELLENAS PIMIENTO
1096;2900;IRENE;ACENORCA;LOMMEL;DAP;BELGICA;CAMION;33;2500;2300;VERTEX;5/2022;ACEITUNAS  RELLENAS  ANCHOA
1097;7000;DAVID;ACENORCA;MONTEPRANDONE;DAP;ITALIA;CAMION;33;2100;2150;LIBERTIA;5/2022;ACEITUNAS VERDES SIN HUESO
1098;2400;DAVID;OLIVES;LOMATRANS;DAP;FRANCIA;CAMION;33;1440;1680;TRANSMOVIEX;5/2022;ACEITUNAS NEGRAS RODAJAS
1099;100;PACHI;OSUNA;JEBEL ALI;CFR;EMIRATOS ARABES UNIDOS;20';11;1620;1850;YUSEN LOGISTICS;5/2022;ACEITUNAS VERDES SIN HUESO
1100;1600;PACHI;OSUNA;NHAVA SHEVA;CIF;INDIA;20';11;1680;2530;PINTO BASTO;5/2022;ACEITUNAS NEGRAS RODAJAS
1101;300;PACHI;ACENORCA;JEDDAH;CFR;ARABIA SAUDITA;20';11;2470;2300;PINTO BASTO;5/2022;ACEITUNAS VERDES  RODAJAS
1102;5300;IRENE;ARASOL;HAMM;DAP;ALEMANIA;CAMION;33;3090;2550;TRANSTIRA;5/2022;ACEITUNAS  RELLENAS  ANCHOA
1103;3300;DAVID;OLIVES;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;2250;2300;UNIVERSAL LOGISTICS;5/2022;ACEITUNAS NEGRAS RODAJAS
1104;7800;DAVID;OLIVES;LUTTERWORTH;DAP;REINO UNIDO;40';25;2640;2393;PINTO BASTO;5/2022;ACEITUNAS VERDES SIN HUESO
1105;7800;DAVID;OLIVES;LUTTERWORTH;DDP;REINO UNIDO;40';25;2850;2393;PINTO BASTO;5/2022;ACEITUNAS NEGRAS RODAJAS
1106;2200;DAVID;ACENORCA;CAVA DE TIRRENI;DAP;ITALIA;CAMION;33;2400;2750;TRANSITALIA;5/2022;ACEITUNAS VERDES  RODAJAS
1107;10400;PACHI;OLIVES;TERESIN;DDP;POLONIA;CAMION;33;3730;3100;NEPTUNE;5/2022;ACEITUNAS NEGRAS RODAJAS
1108;10400;PACHI;OLIVES;LUBLIN;DDP;POLONIA;CAMION;33;3800;3100;NEPTUNE;5/2022;ACEITUNAS NEGRAS RODAJAS
1109;5300;IRENE;ACENORCA;HAMM;DAP;ALEMANIA;CAMION;33;2700;2550;VERTEX;5/2022;ACEITUNAS NEGRAS RODAJAS
1110;5300;IRENE;ARASOL;HAMM;DAP;ALEMANIA;CAMION;33;3070;3500;TRANSTIRA;5/2022;ACEITUNAS  RELLENAS  ANCHOA
1111;5300;IRENE;ARASOL;HAMM;DAP;ALEMANIA;CAMION;33;3090;3500;TRANSTIRA;5/2022;ACEITUNAS NEGRAS RODAJAS
1112;400;PACHI;OSUNA;PORT QASIM;CFR;PAKISTAN;20';11;1800;2100;PINTO BASTO;5/2022;ACEITUNAS  RELLENAS  ANCHOA
1113;2400;DAVID;OLIVES;LOMATRANS;DAP;FRANCIA;CAMION;33;2100;2300;VERTEX;5/2022;ACEITUNAS VERDES SIN HUESO
1114;7600;IRENE;OLIVES;HERMALLES;DAP;BELGICA;CAMION;33;2200;1950;TRANSMOVIEX;5/2022;ACEITUNAS VERDES SIN HUESO
1115;1200;PACHI;OSUNA;RIYADH DRY PORT;CFR;ARABIA SAUDITA;40';25;2350;2900;TRANSITEX;5/2022;ACEITUNAS RELLENAS PIMIENTO
1116;100;PACHI;OSUNA;JEBEL ALI;CFR;EMIRATOS ARABES UNIDOS;20';11;1700;2100;TRANSITEX;5/2022;ACEITUNAS RELLENAS PIMIENTO
1117;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;40';25;2080;2300;PINTO BASTO;5/2022;ACEITUNAS VERDES  RODAJAS
1118;1100;PACHI;OSUNA;JEDDAH;CFR;ARABIA SAUDITA;20';11;1640;1800;PINTO BASTO;5/2022;ACEITUNAS RELLENAS PIMIENTO
1119;3500;DAVID;OLIVES;CHENNEVIERES;DAP;FRANCIA;CAMION;33;2300;2153;MANERO;5/2022;ACEITUNAS VERDES  RODAJAS
1120;200;PACHI;OSUNA;POTI;CFR;GEORGIA;20';11;2260;2245;PINTO BASTO;5/2022;ACEITUNAS  RELLENAS  ANCHOA
1121;6000;IRENE;ACENORCA;DORTMUND;DAP;ALEMANIA;CAMION;33;2700;3040;BEXTER;5/2022;ACEITUNAS VERDES  RODAJAS
1122;3100;IRENE;OSUNA;HAGEN;DDP;ALEMANIA;CAMION;33;3400;3300;FERCAM TRANSPORTES;5/2022;ACEITUNAS VERDES  RODAJAS
1123;3100;IRENE;ARASOL;HAGEN;DDP;ALEMANIA;CAMION;33;3400;3300;FERCAM TRANSPORTES;5/2022;ACEITUNAS VERDES SIN HUESO
1124;7700;IRENE;OLIVES;ZEEBRUGGE;DAP;BELGICA;CAMION;33;3200;2495;MORARTE;5/2022;ACEITUNAS NEGRAS RODAJAS
1125;1100;PACHI;ARASOL;JEDDAH;DDP;ARABIA SAUDITA;40';25;1980;1800;PINTO BASTO;5/2022;ACEITUNAS VERDES  RODAJAS
1126;5800;DAVID;OSUNA;BADIA POLESINE;DAP;ITALIA;CAMION;33;2280;2350;TRANSITALIA;5/2022;ACEITUNAS VERDES SIN HUESO
1127;3400;DAVID;OSUNA;CASTEL MADAMA;DDP;ITALIA;CAMION;33;2400;2350;TRANSITALIA;5/2022;ACEITUNAS VERDES SIN HUESO
1128;3300;DAVID;CAZORLA;PLAISANCE DU TOUCH;DAP;FRANCIA;CAMION;33;1250;1900;JOMAPORTES;5/2022;ACEITUNAS RELLENAS PIMIENTO
1129;7600;IRENE;OSUNA;HERMALLES;DAP;BELGICA;CAMION;33;3400;2600;GEODIS;5/2022;ACEITUNAS VERDES SIN HUESO
1130;2400;DAVID;OLIVES;LOMATRANS;DAP;FRANCIA;CAMION;33;2200;2300;TTES JUAN PIZARRO;5/2022;ACEITUNAS RELLENAS PIMIENTO
1131;3700;DAVID;ARASOL;PARK ROYAL;DAP;REINO UNIDO;40';25;1970;2200;JOHNGOOD;5/2022;ACEITUNAS  RELLENAS  ANCHOA
1132;2400;DAVID;OLIVES;LOMATRANS;DDP;FRANCIA;CAMION;33;2100;2300;SER LOGIC;5/2022;ACEITUNAS VERDES  RODAJAS
1133;200;PACHI;OSUNA;POTI;CFR;GEORGIA;20';11;2297;2245;PINTO BASTO;5/2022;ACEITUNAS VERDES  RODAJAS
1134;6000;IRENE;ACENORCA;HAMBURGO;DAP;ALEMANIA;CAMION;33;2345;2400;TRANSTIRA;5/2022;ACEITUNAS  RELLENAS  ANCHOA
1135;7600;IRENE;OLIVES;HERMALLES;DAP;BELGICA;CAMION;33;3300;2600;BOGAITRANS;5/2022;ACEITUNAS VERDES  RODAJAS
1136;3300;DAVID;CAZORLA;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1875;1900;CARRERAS;5/2022;ACEITUNAS  RELLENAS  ANCHOA
1137;1900;DAVID;ARASOL;BARKING;DAP;REINO UNIDO;40';25;2290;2950;CONTAINERSHIPS;5/2022;ACEITUNAS VERDES  RODAJAS
1138;6000;IRENE;ACENORCA;HAMBURGO;DDP;ALEMANIA;CAMION;33;3400;3040;NEPTUNE;5/2022;ACEITUNAS RELLENAS PIMIENTO
1139;6000;IRENE;ACENORCA;HAMMERSBACH;DAP;ALEMANIA;CAMION;33;2725;3040;VERTEX;5/2022;ACEITUNAS VERDES  RODAJAS
1140;4900;IRENE;ACENORCA;GELSENKIRCHEN;DDP;ALEMANIA;CAMION;33;2765;2300;VERTEX;5/2022;ACEITUNAS VERDES  RODAJAS
1141;2400;DAVID;OLIVES;LOMATRANS;DAP;FRANCIA;CAMION;33;1975;2300;BILADU;5/2022;ACEITUNAS RELLENAS PIMIENTO
1142;7800;DAVID;OLIVES;DONCASTER;DAP;REINO UNIDO;40';25;2550;2393;PINTO BASTO;5/2022;ACEITUNAS VERDES  RODAJAS
1143;700;PACHI;OSUNA;MUNDRA;CFR;INDIA;20';11;1850;2300;PINTO BASTO;5/2022;ACEITUNAS  RELLENAS  ANCHOA
1144;6500;DAVID;OLIVES;VALLESE DI OPPEANO;DAP;ITALIA;CAMION;33;2400;1900;LIBERTIA;5/2022;ACEITUNAS NEGRAS RODAJAS
1145;7600;IRENE;OLIVES;HERMALLES;DAP;BELGICA;CAMION;33;3400;2600;MAGETRALUX;5/2022;ACEITUNAS VERDES  RODAJAS
1146;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;20';11;1710;2100;PINTO BASTO;5/2022;ACEITUNAS VERDES SIN HUESO
1147;6000;IRENE;ACENORCA;HAMBURGO;DDP;ALEMANIA;CAMION;33;3300;3040;VERTEX;5/2022;ACEITUNAS VERDES SIN HUESO
1148;200;PACHI;ARASOL;POTI;CFR;GEORGIA;40';25;1675;2245;DSV;5/2022;ACEITUNAS NEGRAS RODAJAS
1149;7800;DAVID;OLIVES;LUTTERWORTH;DAP;REINO UNIDO;40';25;2640;2393;PINTO BASTO;5/2022;ACEITUNAS  RELLENAS  ANCHOA
1150;200;PACHI;OSUNA;POTI;CFR;GEORGIA;20';11;2297;2245;PINTO BASTO;5/2022;ACEITUNAS NEGRAS RODAJAS
1151;6300;PACHI;OLIVES;GDANSK;DDP;POLONIA;40';25;1845;2100;SEALAND;5/2022;ACEITUNAS NEGRAS RODAJAS
1152;300;PACHI;ACENORCA;JEDDAH;CFR;ARABIA SAUDITA;40';25;2350;2300;PINTO BASTO;5/2022;ACEITUNAS RELLENAS PIMIENTO
1153;300;PACHI;ACENORCA;JEDDAH;CFR;ARABIA SAUDITA;40';25;2270;2300;PINTO BASTO;5/2022;ACEITUNAS  RELLENAS  ANCHOA
1154;9400;DAVID;OLIVES;AZAMBUJA;DDP;PORTUGAL;CAMION;33;940;850;TRANSNORIEGA;5/2022;ACEITUNAS VERDES  RODAJAS
1155;4900;IRENE;ACENORCA;GELSENKIRCHEN;DAP;ALEMANIA;CAMION;33;1865;2350;SENNDER;5/2022;ACEITUNAS VERDES  RODAJAS
1156;7600;IRENE;OSUNA;HERMALLES;DAP;BELGICA;CAMION;33;2115;2600;TRANSTIRA;5/2022;ACEITUNAS VERDES SIN HUESO
1157;7800;DAVID;OLIVES;DONCASTER;DAP;REINO UNIDO;40';25;2400;2243;TRANSITEX;5/2022;ACEITUNAS NEGRAS RODAJAS
1158;7800;DAVID;OLIVES;ARMSTRONG;DAP;REINO UNIDO;40';25;2100;2227;GIRTEKA;5/2022;ACEITUNAS VERDES  RODAJAS
1159;3300;DAVID;CAZORLA;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;1180;1300;SENNDER;5/2022;ACEITUNAS VERDES SIN HUESO
1160;5300;IRENE;OSUNA;HAMM;DAP;ALEMANIA;CAMION;33;3350;3500;UNIVERSAL LOGISTICS;5/2022;ACEITUNAS VERDES SIN HUESO
1161;2100;DAVID;ARASOL;MANCHESTER;DDP;REINO UNIDO;20';11;2330;3900;CONTAINERSHIPS;5/2022;ACEITUNAS RELLENAS PIMIENTO
1162;2100;DAVID;ARASOL;MANCHESTER;DDP;REINO UNIDO;40';25;3000;3900;CONTAINERSHIPS;5/2022;ACEITUNAS NEGRAS RODAJAS
1163;300;PACHI;ACENORCA;JEDDAH;CFR;ARABIA SAUDITA;40';25;1700;2200;PINTO BASTO;5/2022;ACEITUNAS VERDES SIN HUESO
1164;400;PACHI;ARASOL;PORT QASIM;CFR;ARABIA SAUDITA;20';11;2370;2700;PINTO BASTO;5/2022;ACEITUNAS  RELLENAS  ANCHOA
1165;8900;MARIA;ARASOL;NORFOLK;CIF;ESTADOS UNIDOS;40';25;4489;4740;YUSEN LOGISTICS;5/2022;ACEITUNAS VERDES  RODAJAS
1166;4800;DAVID;ACENORCA;CHARD;DDP;REINO UNIDO;20';11;3242;2800;CONTAINERSHIPS;5/2022;ACEITUNAS VERDES  RODAJAS
1167;7100;DAVID;OSUNA;LOMAZZO;DAP;ITALIA;CAMION;33;2000;1900;TRANSITALIA;5/2022;ACEITUNAS VERDES SIN HUESO
1168;5300;IRENE;ARASOL;HAMM;DAP;ALEMANIA;CAMION;33;3150;3500;TRANSTIRA;6/2022;ACEITUNAS VERDES SIN HUESO
1169;3300;DAVID;CAZORLA;PLAISANCE DU TOUCH;DDP;FRANCIA;CAMION;33;2000;2100;NEPTUNE;6/2022;ACEITUNAS VERDES SIN HUESO
1170;1100;PACHI;ARASOL;JEDDAH;CFR;ARABIA SAUDITA;40';25;1535;1450;DSV;6/2022;ACEITUNAS NEGRAS RODAJAS
1171;10300;PACHI;ACENORCA;SAN PETERSBURGO;CFR;RUSIA;20';11;1740;1600;PINTO BASTO;6/2022;ACEITUNAS NEGRAS RODAJAS
1172;7000;DAVID;CAZORLA;MONTEPRANDONE;DAP;ITALIA;CAMION;33;1500;2050;TRANSITALIA;6/2022;ACEITUNAS VERDES  RODAJAS
1173;6000;IRENE;ACENORCA;HAMMERSBACH;DAP;ALEMANIA;CAMION;33;2800;3040;VERTEX;6/2022;ACEITUNAS  RELLENAS  ANCHOA
1174;2900;IRENE;ACENORCA;LOMMEL;DAP;BELGICA;CAMION;33;3100;2300;NEPTUNE;6/2022;ACEITUNAS RELLENAS PIMIENTO
1175;1400;ISABEL;ACENORCA;HAIFA;CFR;ISRAEL;40';25;1450;1625;PINTO BASTO;6/2022;ACEITUNAS RELLENAS PIMIENTO
1176;5300;IRENE;ARASOL;HAMM;DDP;ALEMANIA;CAMION;33;2750;3300;VERTEX;6/2022;ACEITUNAS RELLENAS PIMIENTO
1177;1100;PACHI;ACENORCA;JEDDAH;CFR;ARABIA SAUDITA;40';25;2170;1650;TRANSITEX;6/2022;ACEITUNAS RELLENAS PIMIENTO
1178;1100;PACHI;ARASOL;JEDDAH;DDP;ARABIA SAUDITA;20';11;1730;1785;TRANSITEX;6/2022;ACEITUNAS VERDES SIN HUESO
1179;1100;PACHI;ARASOL;JEDDAH;DDP;ARABIA SAUDITA;40';25;1865;1960;TRANSITEX;6/2022;ACEITUNAS RELLENAS PIMIENTO
1180;1100;PACHI;OSUNA;JEDDAH;DDP;ARABIA SAUDITA;40';25;1975;2070;TRANSITEX;6/2022;ACEITUNAS NEGRAS RODAJAS
1181;5300;IRENE;ARASOL;HAMM;DAP;ALEMANIA;CAMION;33;3020;3500;TRANSTIRA;6/2022;ACEITUNAS RELLENAS PIMIENTO
1182;4900;IRENE;ARASOL;GELSENKIRCHEN;DAP;ALEMANIA;40';25;2130;2350;BRAID;6/2022;ACEITUNAS VERDES SIN HUESO
1183;1400;ISABEL;ACENORCA;HAIFA;CFR;ISRAEL;40';25;1575;2650;TRANSITEX;6/2022;ACEITUNAS NEGRAS RODAJAS
1184;2400;DAVID;OLIVES;LOMATRANS;DAP;FRANCIA;CAMION;33;1500;1680;SANTIAGO RAYEGO;6/2022;ACEITUNAS RELLENAS PIMIENTO
1185;2900;IRENE;ACENORCA;LOMMEL;DDP;BELGICA;CAMION;33;2200;2300;TRANSTIRA;6/2022;ACEITUNAS VERDES SIN HUESO
1186;7400;DAVID;OSUNA;BERGEN OP ZOOM;DAP;PAISES BAJOS;CAMION;33;3100;2150;NEPTUNE;6/2022;ACEITUNAS VERDES SIN HUESO
1187;10300;PACHI;CAZORLA;SAN PETERSBURGO;CFR;RUSIA;20';11;1130;1600;PINTO BASTO;6/2022;ACEITUNAS VERDES SIN HUESO
1188;6000;IRENE;ACENORCA;HAMBURGO;DAP;ALEMANIA;40';25;1890;1580;BRAID;6/2022;ACEITUNAS  RELLENAS  ANCHOA
1189;10300;PACHI;ACENORCA;SAN PETERSBURGO;CFR;RUSIA;20';11;1740;1600;PINTO BASTO;6/2022;ACEITUNAS NEGRAS RODAJAS
1190;2400;DAVID;OLIVES;LOMATRANS;DAP;FRANCIA;CAMION;33;1640;1680;CECAMAN;6/2022;ACEITUNAS VERDES  RODAJAS
1191;1200;PACHI;OSUNA;RIYADH DRY PORT;CFR;ARABIA SAUDITA;40';25;1885;2400;DACHSER;6/2022;ACEITUNAS NEGRAS RODAJAS
1192;7800;DAVID;OLIVES;ARMSTRONG;DAP;REINO UNIDO;40';25;2100;2227;GIRTEKA;6/2022;ACEITUNAS RELLENAS PIMIENTO
1193;7600;IRENE;OLIVES;HERMALLES;DAP;BELGICA;CAMION;33;2600;2200;PEREZ RANGEL;6/2022;ACEITUNAS VERDES SIN HUESO
1194;2100;DAVID;ARASOL;MANCHESTER;DDP;REINO UNIDO;40';25;3000;3900;CONTAINERSHIPS;6/2022;ACEITUNAS VERDES SIN HUESO
1195;10100;PACHI;ACENORCA;NOVOROSSIYSK;CIF;RUSIA;40';25;1625;1750;TRANSITEX;6/2022;ACEITUNAS  RELLENAS  ANCHOA
1196;4800;DAVID;ACENORCA;CHARD;DAP;REINO UNIDO;20';11;2186;3300;CONTAINERSHIPS;6/2022;ACEITUNAS  RELLENAS  ANCHOA
1197;1200;PACHI;OSUNA;RIYADH DRY PORT;CFR;ARABIA SAUDITA;40';25;1605;2400;DSV;6/2022;ACEITUNAS VERDES SIN HUESO
1198;600;PACHI;OSUNA;SHUWAIKH;CIF;KUWAIT;40';25;2240;4100;BRAID;6/2022;ACEITUNAS NEGRAS RODAJAS
1199;3700;DAVID;ARASOL;PARK ROYAL;DAP;REINO UNIDO;40';25;1910;2200;JOHNGOOD;6/2022;ACEITUNAS  RELLENAS  ANCHOA
1200;8800;MARIA;ACENORCA;SAVANNAH;CIF;ESTADOS UNIDOS;40';25;4895;2500;TRANSITEX;6/2022;ACEITUNAS VERDES  RODAJAS
1201;2800;DAVID;OSUNA;BADIA POLESINE;DDP;ITALIA;CAMION;33;2150;2550;LIBERTIA;6/2022;ACEITUNAS VERDES  RODAJAS
